capacity,failure_rate,margin,price,prod_cost,warranty,attractiveness,profit,prod_type_electrique,prod_type_essence,quality_Low,quality_Medium,quality_price_Low,quality_price_Medium
10.49262331199172,0.042527980886810916,633.7665842034021,828.8021034855202,195.03551928211797,3,0.6506482608150532,0.7646778181885666,0,0,1,0,1,0
20.273730444538863,0.037896368225955296,731.5768165928986,882.894915941766,151.31809934886763,3,0.6997924743016689,0.8286114274568456,0,0,1,0,1,0
20.190456916489122,0.039111245954194296,741.2182024972647,919.3555217086142,178.13731921134948,3,0.6321289330507346,0.8062367441049543,0,0,1,0,1,0
27.220131037450038,0.04130311679867133,654.2556353742241,817.0850969501104,162.82946157588628,3,0.8107298917700951,0.8007190901123138,0,0,1,0,1,0
16.370911056135107,0.037938171867880455,703.0945265657465,844.5814645266527,141.48693796090603,3,0.7576141622593239,0.8324768611394963,0,0,0,1,1,0
19.548212909002086,0.035428092007083675,728.2846172351573,905.2975029654892,177.01288573033196,3,0.7770510884931896,0.8044699282274725,0,0,0,1,1,0
12.242635494647624,0.03549164468149561,757.3512858799036,930.615021607817,173.26373572791334,3,0.7660556948184783,0.8138180324786002,0,0,0,0,0,0
8.676313646712744,0.042065635322025,633.5154494204178,818.0755906101691,184.56014118975136,3,0.5413177342746714,0.7743972032558807,0,0,1,0,1,0
15.26418049511829,0.0388041781854406,646.6265667713467,816.7740281201634,170.14746134881673,3,0.6202780688392848,0.7916835556825704,0,0,1,0,1,0
16.190544596953682,0.034045454119674474,628.6733599514768,814.7996502793842,186.1262903279073,3,0.5831169102149285,0.7715680286999546,0,0,1,0,1,0
14.028989091553113,0.03475724923552502,637.20063592737,785.6156751090581,148.41503918168814,3,0.7628837292844171,0.811084422213081,0,0,1,0,1,0
15.926413986683631,0.037488206563731336,675.3284849133684,871.1479482435153,195.81946333014687,3,0.7414593935594491,0.7752167542551467,0,0,0,1,1,0
14.318660287652607,0.03768390227703697,648.8385259062187,819.8380992344531,170.99957332823436,3,0.7077885356144931,0.7914227534827791,0,0,1,0,1,0
19.89617908348636,0.04093419949269789,690.403796845931,830.3736418683483,139.9698450224172,3,0.6186440057191919,0.8314375144332812,0,0,1,0,1,0
18.925359061602745,0.029028387725380182,709.668291540398,874.528100755259,164.85980921486097,3,0.6546111533173826,0.8114871219432687,0,0,1,0,1,0
